STATION,NAME,DATE,AWND,PGTM,PRCP,HOLIDAY,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-01,1.12,,0,0,,,,62,43,100,100,8.1,12.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-02,1.79,,0,1,,,,58,51,120,140,6.9,11,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-03,0,,0,0,,,,60,48,50,50,4.9,6,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-04,1.12,,0.03,0,,,,63,47,90,100,8.1,13,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-05,3.8,,0.39,0,,,,65,54,270,110,8.9,13,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-06,1.34,,0,0,,,,66,51,270,270,6.9,10.1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-07,1.79,,0.07,0,,,,70,51,90,80,6.9,12.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-08,1.12,,0,0,,,,79,53,280,260,8.9,13,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-09,2.24,,0.77,0,,,,64,55,100,100,12.1,17,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-10,1.12,,0.07,0,,,,61,51,270,280,6.9,12.1,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-11,2.24,,0.39,0,,,,66,55,270,270,8.9,14.1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-12,2.91,,1.13,0,,,,58,53,90,110,8.1,11,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-13,0.67,,0,0,,,,62,49,280,270,6.9,11,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-14,0.67,,0,0,,,,72,47,100,170,6,10.1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-15,2.68,,0,0,,,,66,53,130,180,8.1,13,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-16,0.67,,0,1,,,,66,52,270,270,10.1,15,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-17,1.57,,0,0,,,,68,46,280,270,10.1,13,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-18,2.01,,0.04,0,,,,62,47,280,270,8.9,17,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-19,4.47,,0.98,0,,,,64,52,270,270,13,23,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-20,4.92,,1.51,0,,,,59,51,270,280,16.1,27.1,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-21,1.12,,0,0,,,,63,46,270,270,8.9,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-22,6.71,,2.67,0,,,,56,51,100,90,17,28,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-23,1.79,,0.33,0,,,,58,44,280,270,14.1,21.9,1,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-24,1.34,,0,0,,,,58,41,260,280,6.9,12.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-25,1.12,,0,0,,,,61,41,270,270,10.1,14.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-26,1.12,,0,0,,,,65,43,270,280,6.9,11,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-27,0.22,,0,0,,,,64,44,270,280,6.9,11,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-28,0,,0,0,,,,74,41,270,270,6.9,10.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-29,0,,0,0,,,,80,47,270,270,6,8.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-30,1.12,,0,0,,,,80,53,280,270,6.9,10.1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-01-31,0.89,,0,0,,,,77,50,280,280,8.1,11,,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-01,1.12,,0,0,,,,72,48,280,280,8.9,13,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-02,1.12,,0,0,,,,68,53,280,270,6.9,11,1,,,1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2017-02-03,1.79,,0.23,0,,,,61,55,90,110,8.1,13,1,,,1
